"site","month","detected_days","sampled_days","sector","mes","season","xcoord","ycoord","elevacion_msnm","population","prop_det","year","month_num","month_date","month_lab"
"PP",202305,1,29,"Norte",5,"Mar-Aug (Reproductive)",-82.961005,9.024058,1562,14.1151361465454,0.0344827586206897,"2023",5,2023-05-01,"may 2023"
"PP",202306,0,20,"Norte",6,"Mar-Aug (Reproductive)",-82.961005,9.024058,1562,14.1151361465454,0,"2023",6,2023-06-01,"jun 2023"
"PP",202307,1,31,"Norte",7,"Mar-Aug (Reproductive)",-82.961005,9.024058,1562,14.1151361465454,0.032258064516129,"2023",7,2023-07-01,"jul 2023"
"PP",202308,0,19,"Norte",8,"Mar-Aug (Reproductive)",-82.961005,9.024058,1562,14.1151361465454,0,"2023",8,2023-08-01,"ago 2023"
"PP",202309,0,30,"Norte",9,"Set-Feb (Non-Reproductive)",-82.961005,9.024058,1562,14.1151361465454,0,"2023",9,2023-09-01,"sept 2023"
"PP",202310,0,32,"Norte",10,"Set-Feb (Non-Reproductive)",-82.961005,9.024058,1562,14.1151361465454,0,"2023",10,2023-10-01,"oct 2023"
"PP",202311,0,30,"Norte",11,"Set-Feb (Non-Reproductive)",-82.961005,9.024058,1562,14.1151361465454,0,"2023",11,2023-11-01,"nov 2023"
"PP",202312,0,29,"Norte",12,"Set-Feb (Non-Reproductive)",-82.961005,9.024058,1562,14.1151361465454,0,"2023",12,2023-12-01,"dic 2023"
"PP",202401,0,31,"Norte",1,"Set-Feb (Non-Reproductive)",-82.961005,9.024058,1562,14.1151361465454,0,"2024",1,2024-01-01,"ene 2024"
"PP",202402,1,30,"Norte",2,"Set-Feb (Non-Reproductive)",-82.961005,9.024058,1562,14.1151361465454,0.0333333333333333,"2024",2,2024-02-01,"feb 2024"
"PP",202403,0,31,"Norte",3,"Mar-Aug (Reproductive)",-82.961005,9.024058,1562,14.1151361465454,0,"2024",3,2024-03-01,"mar 2024"
"PP",202404,0,31,"Norte",4,"Mar-Aug (Reproductive)",-82.961005,9.024058,1562,14.1151361465454,0,"2024",4,2024-04-01,"abr 2024"
"PP",202405,1,32,"Norte",5,"Mar-Aug (Reproductive)",-82.961005,9.024058,1562,14.1151361465454,0.03125,"2024",5,2024-05-01,"may 2024"
"PP",202406,1,30,"Norte",6,"Mar-Aug (Reproductive)",-82.961005,9.024058,1562,14.1151361465454,0.0333333333333333,"2024",6,2024-06-01,"jun 2024"
"PP",202407,0,23,"Norte",7,"Mar-Aug (Reproductive)",-82.961005,9.024058,1562,14.1151361465454,0,"2024",7,2024-07-01,"jul 2024"
"PA",202305,0,29,"Norte",5,"Mar-Aug (Reproductive)",-82.890607,8.935903,1233,14.2224178314209,0,"2023",5,2023-05-01,"may 2023"
"PA",202306,0,31,"Norte",6,"Mar-Aug (Reproductive)",-82.890607,8.935903,1233,14.2224178314209,0,"2023",6,2023-06-01,"jun 2023"
"PA",202307,0,31,"Norte",7,"Mar-Aug (Reproductive)",-82.890607,8.935903,1233,14.2224178314209,0,"2023",7,2023-07-01,"jul 2023"
"PA",202308,0,32,"Norte",8,"Mar-Aug (Reproductive)",-82.890607,8.935903,1233,14.2224178314209,0,"2023",8,2023-08-01,"ago 2023"
"PA",202309,0,30,"Norte",9,"Set-Feb (Non-Reproductive)",-82.890607,8.935903,1233,14.2224178314209,0,"2023",9,2023-09-01,"sept 2023"
"PA",202310,0,32,"Norte",10,"Set-Feb (Non-Reproductive)",-82.890607,8.935903,1233,14.2224178314209,0,"2023",10,2023-10-01,"oct 2023"
"PA",202311,0,30,"Norte",11,"Set-Feb (Non-Reproductive)",-82.890607,8.935903,1233,14.2224178314209,0,"2023",11,2023-11-01,"nov 2023"
