"Selection","View","Channel","Begin Time (s)","End Time (s)","Low Freq (Hz)","High Freq (Hz)","Begin File","Pájaro Campana","Site","Date","Hour","Month","Week"
1,"Spectrogram 1",1,9.9413319,9.9413319,4401.2,4401.2,"0_PHM24_20240422_154000.mp3",1,"PHM24",20240422,154000,202404,51
2,"Spectrogram 1",1,15.056266286,15.056266286,2865.9,2865.9,"0_PHM24_20240514_080000.mp3",1,"PHM24",20240514,80000,202405,54
3,"Spectrogram 1",1,20.053167415,20.053167415,3480,3480,"0_PHM24_20240514_082000.mp3",1,"PHM24",20240514,82000,202405,54
4,"Spectrogram 1",1,25.111673485,25.111673485,2865.9,2865.9,"0_RNM35_20240414_130000.mp3",1,"RNM35",20240414,130000,202404,50
5,"Spectrogram 1",1,30.145784184,30.145784184,3582.3,3582.3,"100_LLA05_20240527_064000.mp3",1,"LLA05",20240527,64000,202405,56
6,"Spectrogram 1",1,35.340099695,35.340099695,3275.3,3275.3,"100_PHM24_20240408_160000.mp3",1,"PHM24",20240408,160000,202404,49
7,"Spectrogram 1",1,40.213625048,40.213625048,3548.2,3548.2,"100_PHM24_20240422_154000.mp3",1,"PHM24",20240422,154000,202404,51
8,"Spectrogram 1",1,45.383852649,45.383852649,3207,3207,"100_PHM24_20240426_120000.mp3",1,"PHM24",20240426,120000,202404,52
9,"Spectrogram 1",1,50.427324216,50.427324216,3650.6,3650.6,"100_PHM24_20240522_102000.mp3",1,"PHM24",20240522,102000,202405,56
10,"Spectrogram 1",1,55.550349973,55.550349973,2831.8,2831.8,"100_RNM35_20240414_124000.mp3",1,"RNM35",20240414,124000,202404,50
11,"Spectrogram 1",1,65.689081925,65.689081925,2831.8,2831.8,"105_PHM24_20240422_154000.mp3",1,"PHM24",20240422,154000,202404,51
12,"Spectrogram 1",1,80.861545875,80.861545875,3480,3480,"115_PHM24_20240426_114000.mp3",1,"PHM24",20240426,114000,202404,52
13,"Spectrogram 1",1,85.800230683,85.800230683,2797.6,2797.6,"115_PHM24_20240514_080000.mp3",1,"PHM24",20240514,80000,202405,54
14,"Spectrogram 1",1,91.016047734,91.016047734,2797.6,2797.6,"115_PHM24_20240514_082000.mp3",1,"PHM24",20240514,82000,202405,54
15,"Spectrogram 1",1,95.700225011,95.700225011,3480,3480,"115_PHM24_20240514_144000.mp3",1,"PHM24",20240514,144000,202405,54
16,"Spectrogram 1",1,100.995328741,100.995328741,3855.3,3855.3,"120_PPA01_20240502_100000.mp3",1,"PPA01",20240502,100000,202405,53
17,"Spectrogram 1",1,106.197723684,106.197723684,3855.3,3855.3,"120_RNM35_20240414_124000.mp3",1,"RNM35",20240414,124000,202404,50
18,"Spectrogram 1",1,116.3635335,116.3635335,3377.6,3377.6,"135_PHM24_20240408_160000.mp3",1,"PHM24",20240408,160000,202404,49
19,"Spectrogram 1",1,126.482415998,126.482415998,3855.3,3855.3,"140_RNM35_20240414_124000.mp3",1,"RNM35",20240414,124000,202404,50
20,"Spectrogram 1",1,141.451017098,141.451017098,2661.2,2661.2,"145_LLA05_20240525_132000.mp3",1,"LLA05",20240525,132000,202405,56
21,"Spectrogram 1",1,146.507691,146.507691,3104.7,3104.7,"150_PHM24_20240408_160000.mp3",1,"PHM24",20240408,160000,202404,49
22,"Spectrogram 1",1,151.641820757,151.641820757,3138.8,3138.8,"150_PHM24_20240426_062000.mp3",1,"PHM24",20240426,62000,202404,52
23,"Spectrogram 1",1,156.68930399,156.68930399,3207,3207,"150_PHM24_20240514_080000.mp3",1,"PHM24",20240514,80000,202405,54
24,"Spectrogram 1",1,161.687040639,161.687040639,4060,4060,"150_PHM24_20240522_102000.mp3",1,"PHM24",20240522,102000,202405,56
25,"Spectrogram 1",1,171.877981562,171.877981562,4230.6,4230.6,"15_PHM24_20240522_102000.mp3",1,"PHM24",20240522,102000,202405,56
26,"Spectrogram 1",1,177.300836787,177.300836787,3821.2,3821.2,"15_RNM35_20240414_124000.mp3",1,"RNM35",20240414,124000,202404,50
