"group","ca_primario.trend","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","sig","label","variable","ca_secundario.trend","ent.trend","np.trend","h_footprint.trend","prec.trend"
"Mar-Aug (Reproductive)",-0.954534296025527,0.141357873808957,Inf,-1.23159063762224,-0.677477954428814,-6.75260790435746,1.45210989480321e-11,"*","Slope = -0.955 95% CI: [-1.232, -0.677]*","mature_forest_area",NA,NA,NA,NA,NA
"Set-Feb (Non-Reproductive)",-0.0314648403301173,0.246539440241005,Inf,-0.514673263971153,0.451743583310918,-0.127625990792219,0.898444961652478,"","Slope = -0.031 95% CI: [-0.515, 0.452]","mature_forest_area",NA,NA,NA,NA,NA
"Mar-Aug (Reproductive)",NA,0.157533448067343,Inf,-1.24743834933207,-0.629918580187262,-5.95859784874635,2.54411301447321e-09,"*","Slope = -0.939 95% CI: [-1.247, -0.63]*","secondary_forest_area",-0.938678464759665,NA,NA,NA,NA
"Set-Feb (Non-Reproductive)",NA,0.238112622825345,Inf,-0.84524535571308,0.0881389742910126,-1.5898073198274,0.111878243424207,"","Slope = -0.379 95% CI: [-0.845, 0.088]","secondary_forest_area",-0.378553190711034,NA,NA,NA,NA
"Mar-Aug (Reproductive)",NA,0.0866091346535872,Inf,0.319802933846787,0.659304503153208,5.65244902235865,1.58177719270545e-08,"*","Slope = 0.49 95% CI: [0.32, 0.659]*","ls_entropy",NA,0.489553718499998,NA,NA,NA
"Set-Feb (Non-Reproductive)",NA,0.143520125184618,Inf,-0.0959766227438028,0.466611930093258,1.29123113177573,0.196623542975509,"","Slope = 0.185 95% CI: [-0.096, 0.467]","ls_entropy",NA,0.185317653674727,NA,NA,NA
"Mar-Aug (Reproductive)",NA,0.128117448933044,Inf,-1.36775474020354,-0.865543568803708,-8.71582414263651,2.88651079509001e-18,"*","Slope = -1.117 95% CI: [-1.368, -0.866]*","ls_patch_number",NA,NA,-1.11664915450362,NA,NA
"Set-Feb (Non-Reproductive)",NA,0.194302012283658,Inf,-1.07444883335038,-0.312798940951121,-3.56982348766487,0.000357221848013733,"*","Slope = -0.694 95% CI: [-1.074, -0.313]*","ls_patch_number",NA,NA,-0.693623887150748,NA,NA
"Mar-Aug (Reproductive)",NA,0.180737420941524,Inf,-1.10790310612934,-0.399425434721257,-4.16994038367484,3.04679329649887e-05,"*","Slope = -0.754 95% CI: [-1.108, -0.399]*","human_footprint",NA,NA,NA,-0.7536642704253,NA
"Set-Feb (Non-Reproductive)",NA,0.275810469426523,Inf,-0.940001060412433,0.141156112857709,-1.4481773465955,0.147567458358961,"","Slope = -0.399 95% CI: [-0.94, 0.141]","human_footprint",NA,NA,NA,-0.399422473777362,NA
"Mar-Aug (Reproductive)",NA,0.103735530950573,Inf,-1.14762862565665,-0.74099281649612,-9.10305960188628,8.7822201444695e-20,"*","Slope = -0.944 95% CI: [-1.148, -0.741]*","precipitation",NA,NA,NA,NA,-0.944310721076382
"Set-Feb (Non-Reproductive)",NA,0.136122725029404,Inf,-0.783929522199011,-0.25033824512885,-3.79902682342147,0.000145265371558179,"*","Slope = -0.517 95% CI: [-0.784, -0.25]*","precipitation",NA,NA,NA,NA,-0.51713388366393
