"h3_address","month","pres_acoustic","detected_days","sampled_days","acoustic_years","nlistas_ebird","ndias_ebird","positive_ebird","pres_ebird","first_positive_date","last_positive_date","ebird_sampling_status","acoustic_only_record"
"8666b5017ffffff",2,1,1,29,"2024",8,3,2,1,2022-02-06,2022-02-06,"Represented in eBird archive",FALSE
"8666b5017ffffff",4,1,3,29,"2024",17,9,1,1,2009-04-11,2009-04-11,"Represented in eBird archive",FALSE
"8666b5017ffffff",5,1,2,30,"2024",2,1,0,0,NA,NA,"eBird checklists without a positive record",TRUE
"8666b5017ffffff",6,1,2,35,"2023;2024",3,3,0,0,NA,NA,"eBird checklists without a positive record",TRUE
"8666b5017ffffff",7,1,4,52,"2023;2024",5,2,3,1,2022-07-12,2022-07-12,"Represented in eBird archive",FALSE
"8666b50a7ffffff",5,1,5,61,"2023;2024",33,28,5,1,2017-05-13,2024-05-12,"Represented in eBird archive",FALSE
"8666b50a7ffffff",6,1,8,61,"2023;2024",10,10,3,1,2023-06-06,2025-06-28,"Represented in eBird archive",FALSE
"8666b50a7ffffff",7,1,1,27,"2023;2024",4,3,1,1,2023-07-22,2023-07-22,"Represented in eBird archive",FALSE
"8666b50b7ffffff",2,1,1,30,"2024",47,39,0,0,NA,NA,"eBird checklists without a positive record",TRUE
"8666b50b7ffffff",4,1,1,30,"2024",46,40,1,1,2023-04-23,2023-04-23,"Represented in eBird archive",FALSE
"8666b50b7ffffff",5,1,2,30,"2024",39,29,1,1,2020-05-24,2020-05-24,"Represented in eBird archive",FALSE
"8666b50b7ffffff",6,1,13,33,"2023;2024",32,26,5,1,2020-06-06,2024-06-27,"Represented in eBird archive",FALSE
"8666b50b7ffffff",7,1,16,54,"2023;2024",22,18,7,1,2010-07-29,2024-07-31,"Represented in eBird archive",FALSE
"8666b5467ffffff",3,1,1,83,"2024",1169,270,1,1,2023-03-12,2023-03-12,"Represented in eBird archive",FALSE
"8666b54dfffffff",12,1,3,124,"2023",156,80,4,1,2019-12-08,2024-12-30,"Represented in eBird archive",FALSE
"8666b556fffffff",1,1,1,62,"2024",68,36,0,0,NA,NA,"eBird checklists without a positive record",TRUE
"8666b556fffffff",5,1,2,72,"2023;2024",72,26,2,1,2023-05-13,2023-05-13,"Represented in eBird archive",FALSE
"8666b556fffffff",6,1,7,100,"2023;2024",41,20,11,1,2021-06-08,2025-06-28,"Represented in eBird archive",FALSE
"8666b556fffffff",7,1,31,107,"2023;2024",19,15,4,1,2021-07-19,2023-07-08,"Represented in eBird archive",FALSE
"8666b5cdfffffff",2,1,1,59,"2024",22,12,0,0,NA,NA,"eBird checklists without a positive record",TRUE
"8666b5cdfffffff",5,1,2,91,"2023;2024",30,13,1,1,2017-05-15,2017-05-15,"Represented in eBird archive",FALSE
"8666b5cdfffffff",6,1,1,85,"2023;2024",20,7,3,1,2021-06-27,2021-06-27,"Represented in eBird archive",FALSE
"8666b5cdfffffff",7,1,3,105,"2023;2024",14,12,0,0,NA,NA,"eBird checklists without a positive record",TRUE
