"year","elev_zone","mean_pred","low","high"
2000,"Highlands (1200–2499 m)",0.0509408242103211,0.0466447139084558,0.141264075119142
2001,"Highlands (1200–2499 m)",0.0475880843047674,0.0435678450861475,0.110270828370244
2002,"Highlands (1200–2499 m)",0.0461039167214478,0.0430028367625981,0.0939891178155308
2003,"Highlands (1200–2499 m)",0.0463483874923667,0.0435647143186416,0.0867695480406251
2004,"Highlands (1200–2499 m)",0.0475420287529592,0.0446428107404253,0.0827363630092375
2005,"Highlands (1200–2499 m)",0.0495849058414606,0.0461646370573084,0.0804762844335763
2006,"Highlands (1200–2499 m)",0.0519751932431108,0.0479589345735775,0.0800228736659575
2007,"Highlands (1200–2499 m)",0.0544461878074263,0.0504720619172423,0.0809751509888404
2008,"Highlands (1200–2499 m)",0.0562167366011334,0.0521694769683982,0.0821237011560789
2009,"Highlands (1200–2499 m)",0.0572432394055381,0.0533145756337963,0.0814996139118571
2010,"Highlands (1200–2499 m)",0.0572126250053556,0.0536274683594263,0.0797189032699838
2011,"Highlands (1200–2499 m)",0.0567640107561505,0.0530628952295408,0.0768507108883262
2012,"Highlands (1200–2499 m)",0.0560259733010027,0.0523795438526725,0.073904960642913
2013,"Highlands (1200–2499 m)",0.0552495806423615,0.0516506368350907,0.0709374985333815
2014,"Highlands (1200–2499 m)",0.0539712908940828,0.0506261744072392,0.0667857286618196
2015,"Highlands (1200–2499 m)",0.0527247548545826,0.0497178104086213,0.0628097296983677
2016,"Highlands (1200–2499 m)",0.0517935489443077,0.0492958409570788,0.0596210200079222
2017,"Highlands (1200–2499 m)",0.051501556743207,0.0493847878320981,0.0580749163555308
2018,"Highlands (1200–2499 m)",0.0512131762186717,0.0492250910171873,0.056693941738413
2019,"Highlands (1200–2499 m)",0.0508762350507646,0.0490987654222065,0.055268853249509
2020,"Highlands (1200–2499 m)",0.0500199295476993,0.0484910000190263,0.0537274031975655
2021,"Highlands (1200–2499 m)",0.0484414462017655,0.0470499809670907,0.0519979855219615
2022,"Highlands (1200–2499 m)",0.0458934339727713,0.044564197446206,0.0492414131421451
2023,"Highlands (1200–2499 m)",0.0439768525613761,0.0426366295230072,0.0468781066366158
2024,"Highlands (1200–2499 m)",0.0445840247853521,0.0430458850577077,0.0478430613797294
2025,"Highlands (1200–2499 m)",0.0489765897142513,0.0466912773691177,0.0548958170587541
2000,"Lowlands (0–500 m)",0.0147170593248576,0.011971844147117,0.073535553040104
2001,"Lowlands (0–500 m)",0.0149283294188958,0.0122806248312076,0.0451855544811744
2002,"Lowlands (0–500 m)",0.0158017737587268,0.0130465126251313,0.0348632471658852
2003,"Lowlands (0–500 m)",0.0165141330529176,0.0137755454431939,0.0316453626218928
2004,"Lowlands (0–500 m)",0.0159452297252735,0.0134011302828623,0.0288245697661242
2005,"Lowlands (0–500 m)",0.0136578019179634,0.0114374723173431,0.0251557871340071
2006,"Lowlands (0–500 m)",0.0106245407068702,0.00900790941929773,0.0208000375764692
2007,"Lowlands (0–500 m)",0.00805686353192121,0.00692696510500811,0.0170218591636811
2008,"Lowlands (0–500 m)",0.00640487511776891,0.00548083457450175,0.0145947705421868
2009,"Lowlands (0–500 m)",0.00548494497971515,0.00465112891319912,0.012861896039303
2010,"Lowlands (0–500 m)",0.00502749482991941,0.00422939097230394,0.0113057718523749
2011,"Lowlands (0–500 m)",0.004824549934176,0.0040295948409186,0.0102771612143202
2012,"Lowlands (0–500 m)",0.00473136727357571,0.00400744139955286,0.00945717892190818
2013,"Lowlands (0–500 m)",0.00462108987294644,0.00395625839744643,0.0085682317635145
2014,"Lowlands (0–500 m)",0.00444968523595912,0.00387480747169913,0.00742372774316605
2015,"Lowlands (0–500 m)",0.00418352042196635,0.00367109082334224,0.00645786201031385
2016,"Lowlands (0–500 m)",0.00383761367036388,0.00339329031021004,0.00554165901235335
2017,"Lowlands (0–500 m)",0.0034635533316045,0.00310850561850609,0.00470800644846484
2018,"Lowlands (0–500 m)",0.00314814907583331,0.00283611802296586,0.0040496103092275
2019,"Lowlands (0–500 m)",0.00294306687770182,0.00268320139683867,0.00365279589573976
2020,"Lowlands (0–500 m)",0.00284452870754071,0.00260520808600074,0.00345757260061641
2021,"Lowlands (0–500 m)",0.00274508045988143,0.00251441043245763,0.00331828266634288
2022,"Lowlands (0–500 m)",0.00256852683056015,0.00234694339886523,0.00307333605331329
2023,"Lowlands (0–500 m)",0.00232245420110012,0.00214335871071713,0.00272686083239357
2024,"Lowlands (0–500 m)",0.00214160564858819,0.00197532233513503,0.00257155800570571
2025,"Lowlands (0–500 m)",0.00213036459628142,0.00193411003227524,0.00288311753266986
2000,"Mid elevations (600–1100 m)",0.0136210981098235,0.0110378056510767,0.0628378808191995
2001,"Mid elevations (600–1100 m)",0.0137773720821245,0.010682136704861,0.0433720590932251
2002,"Mid elevations (600–1100 m)",0.0142315380269077,0.0112455533447574,0.034097331970926
2003,"Mid elevations (600–1100 m)",0.0143338628413952,0.0117493630149397,0.0315582619309875
2004,"Mid elevations (600–1100 m)",0.0136443976059078,0.0113097068046208,0.0292331632900861
2005,"Mid elevations (600–1100 m)",0.0125014072359339,0.0103702905092917,0.0255339202905036
2006,"Mid elevations (600–1100 m)",0.0114286001956943,0.00963128401441654,0.0223780688135148
2007,"Mid elevations (600–1100 m)",0.010788554332734,0.00918856420229788,0.0202198889500333
2008,"Mid elevations (600–1100 m)",0.0105577941605768,0.00904234960063207,0.0186867553646769
2009,"Mid elevations (600–1100 m)",0.010662069266055,0.00935961988078481,0.0176758597799869
2010,"Mid elevations (600–1100 m)",0.0109196923419281,0.00962659384860252,0.0168597638806425
2011,"Mid elevations (600–1100 m)",0.0112520656810856,0.00997716284258619,0.016570928770852
2012,"Mid elevations (600–1100 m)",0.0116018068579357,0.010314746930144,0.0164934215263731
2013,"Mid elevations (600–1100 m)",0.0120541216594373,0.0107426162447468,0.0167297711237484
2014,"Mid elevations (600–1100 m)",0.0124619878968592,0.0112603660130668,0.0165997356690876
2015,"Mid elevations (600–1100 m)",0.0126552739390317,0.0114826762577242,0.0161900709095193
2016,"Mid elevations (600–1100 m)",0.0124373858662239,0.0113416949571214,0.015237078717635
2017,"Mid elevations (600–1100 m)",0.0118383608739264,0.0108880854090297,0.0141390548807494
2018,"Mid elevations (600–1100 m)",0.0108154243018818,0.00999148020277157,0.012609613879643
2019,"Mid elevations (600–1100 m)",0.00955894135230563,0.00887877108139714,0.0108332332794487
2020,"Mid elevations (600–1100 m)",0.00828690012726101,0.00774302564256759,0.00928152765967201
2021,"Mid elevations (600–1100 m)",0.00723119909754582,0.00677523530941226,0.00813331251318935
2022,"Mid elevations (600–1100 m)",0.00636385872718934,0.00596188463830525,0.00715499241322999
2023,"Mid elevations (600–1100 m)",0.00567682275143452,0.0053273444295798,0.00630443753719175
2024,"Mid elevations (600–1100 m)",0.00516898691858149,0.00483930676937532,0.00580152084023213
2025,"Mid elevations (600–1100 m)",0.00490246361642196,0.00449572463021173,0.00593060076312728
